id,x,y,H,q0
1,319.713,12.505,80,10
2,137.515,111.605,80,10
3,368.236,338.35,80,10
4,446.09,43.469,80,10
5,210.961,14.899,80,10
6,109.319,252.678,80,10
7,13.268,99.419,80,10
8,324.942,272.471,80,10
9,110.22,294.633,80,10
10,404.715,3.249,80,10
11,402.91,349.07,80,10
12,170.125,77.74,80,10
13,478.607,168.297,80,10
14,46.373,48.358,80,10
15,423.747,301.863,80,10
16,268.114,486.558,80,10
17,189.267,276.02,80,10
18,352.286,22.912,80,10
19,113.949,144.694,80,10
20,39.896,116.395,80,10
21,50.501,138.987,80,10
22,317.842,182.416,80,10
23,185.09,104.754,80,10
24,133.489,468.327,80,10
25,324.018,304.566,80,10
26,85.569,364.563,80,10
27,81.701,189.728,80,10
28,494.762,320,80,10
29,278.475,342.307,80,10
30,421.426,388,80,10
31,114.524,16.05,80,10
32,157.727,133.87,80,10
33,105.491,471.455,80,10
34,438.184,157.339,80,10
35,457.274,229.426,80,10
36,280.684,131.371,80,10
37,292.293,448.911,80,10
38,498.769,254.763,80,10
39,45.455,23.558,80,10
40,54.825,313.723,80,10
41,396.04,211.08,80,10
42,31.764,190.81,80,10
43,485.539,430.39,80,10
44,5.741,360.361,80,10
45,133.413,320.481,80,10
46,55.776,217.383,80,10
47,226.862,476.908,80,10
48,437.926,131.695,80,10
49,250.293,89.326,80,10
50,456.314,435.259,80,10
