id,x,y,H,q0
1,319.713,12.505,80.0,10.0
2,137.515,111.605,80.0,10.0
3,368.236,338.35,80.0,10.0
4,446.09,43.469,80.0,10.0
5,210.961,14.899,80.0,10.0
6,109.319,252.678,80.0,10.0
7,13.268,99.419,80.0,10.0
8,324.942,272.471,80.0,10.0
9,110.22,294.633,80.0,10.0
10,404.715,3.249,80.0,10.0
11,402.91,349.07,80.0,10.0
12,170.125,77.74,80.0,10.0
13,478.607,168.297,80.0,10.0
14,46.373,48.358,80.0,10.0
15,423.747,301.863,80.0,10.0
16,268.114,486.558,80.0,10.0
17,189.267,276.02,80.0,10.0
18,352.286,22.912,80.0,10.0
19,113.949,144.694,80.0,10.0
20,39.896,116.395,80.0,10.0
21,50.501,138.987,80.0,10.0
22,317.842,182.416,80.0,10.0
23,185.09,104.754,80.0,10.0
24,133.489,468.327,80.0,10.0
25,324.018,304.566,80.0,10.0
